Feature Set,Num Features,CV ROC AUC,CV AUC Std,Test ROC AUC,Test PR AUC
Tabular Only,25,0.8325775448041972,0.03210556346476776,0.8871828497828071,0.8450172198308415
Network Only,3,0.6414301720160751,0.05222920251842536,0.5891762400416636,0.496500841704768
Tabular + Network,28,0.8349352263437346,0.02888345176696962,0.8903810906528014,0.8526934167415806
