Model,CV ROC AUC (mean),CV ROC AUC (std),CV PR AUC (mean),CV F1 (mean),Train ROC AUC (mean),Overfit Gap
Logistic Regression,0.7893589311426389,0.04231228492603355,0.7393537738818495,0.7071453275781059,0.8553522417542403,0.06599331061160141
Random Forest,0.8325775448041972,0.03210556346476776,0.8018451331483633,0.7254395213624871,0.9907645727264093,0.15818702792221206
Gradient Boosting,0.8413223564041038,0.04717681707589209,0.8023270408004303,0.7388321873716748,0.9955580641050854,0.1542357077009816
