Model,CV ROC AUC,CV Std,Test ROC AUC,Test PR AUC
Gradient Boosting,0.7687337239583333,0.015632746153908895,0.7644111570247935,0.8494368492740724
Random Forest,0.7712565104166667,0.018457232187692223,0.7501549586776859,0.8357632593582157
Logistic Regression,0.641796875,0.035600119783197576,0.7242252066115703,0.7639264111316248
