Feature,Importance
Company Size,0.3306163338638899
CPV Division (Sector),0.17457709986220468
Missing Bidders (Buyer),0.14399155030796593
Missing Bidders (Market),0.1379192974495332
Number of Bidders,0.08295385349664046
Subcontracting,0.0753374193334132
Relative Price,0.025156588509298097
Single Bidding,0.024291093655656334
Consortia,0.005156763521398318
