Model,CV ROC AUC,CV Std,Test ROC AUC,Test PR AUC
Random Forest,0.8165767062025233,0.04285227326815245,0.8732562955411229,0.8445207612157194
Stacking Ensemble,,,0.861462660424061,0.8402100388433412
